PeakPosition,G1_Mean,G1_SEM,G2_Mean,G2_SEM,P_value,FDR
1124,0.1873138177646301,0.048216839087011,0.6924440420330678,0.1736052671131229,0.0011311703749075,0.0096149481867145
1572,0.2953518254174572,0.0688064340477767,0.422689772876922,0.1118317520437746,0.3657354547594534,0.4806466638446519
996,0.0022536581773927,0.0557259800251278,0.8308340282383219,0.2833322274377722,0.0004389840869453,0.0055970471085532
1092,0.2339819435829018,0.0725632332098302,0.2375627565588059,0.1088875966526482,0.933038723867611,0.9711219370866973
1116,0.1094784727221077,0.0272731085648232,0.6860147666559993,0.2331534557213204,0.0014332069064827,0.0112451618816336
1524,0.1929468995052871,0.0694251967216844,0.9519159605677227,0.2466351469754962,0.0056943573568803,0.0223394019385307
420,0.0425871038292647,0.1268450957021036,-0.0424249123390069,0.082958818767343,0.4280041804594391,0.5280819317197876
1540,0.1789001770234855,0.058004789033605,0.7984377583467934,0.196459579818017,0.0015647225926522,0.0114001217464665
412,0.0177929860022419,0.1264540596502153,-0.0039813208191591,0.0801071854445086,0.6052351562148327,0.6886393800425347
1028,-0.0777043572862388,0.0512233654977397,-0.1625416203792426,0.0351368283389196,0.3559241804985145,0.4806466638446519
1548,0.1219145097972034,0.0536900947812294,0.5057029729623588,0.2103681601083858,0.1095632750433058,0.1894144754985965
1716,0.105506308210603,0.050001442294421,0.0423590879216459,0.0681541612293854,0.6165293468374426,0.6910548722793313
804,-0.0652353193015591,0.0366024755301232,0.0249902995552598,0.113062925428515,0.3710163421650292,0.4806466638446519
828,0.000931779972103,0.0483292806741414,0.0946680387186394,0.0455202827011273,0.0217135915343756,0.0595782599831158
836,-0.027043327341902,0.0495331566238006,0.083159100711321,0.0451526155473863,0.0108132837815467,0.0334228771429625
1396,0.0544405381496479,0.049539275801491,-0.0299175549665792,0.0543010091147148,0.218033760209573,0.336961265778431
1388,0.0648915806056136,0.0453392901868579,0.0202181517101971,0.0515069521323768,0.4955463212571138,0.587740985677042
796,-0.0350069420179302,0.0438756113282672,-0.1063852603227814,0.0750501416271372,0.0821017381750781,0.1469188998922451
500,0.1734321371582176,0.0611060142516765,0.1064622245263451,0.0602341424611608,0.4610021391743393,0.5597883118545548
508,0.1304896183357965,0.0563017203194747,0.2366212512494416,0.1125654580004657,0.7792917138762794,0.8283850075253906
1356,0.1801423290084445,0.1550533143972816,0.1314381520521115,0.0946558905980321,0.9921656005178344,0.9921656005178344
428,-0.0469409842778564,0.046614560290549,-0.2193322924807154,0.036315866219015,0.0141501644722134,0.0400921326712714
1284,-0.0528945866218329,0.0454520497821438,0.0219552397694784,0.1865657471684286,0.0571263993658831,0.1120556295253862
916,-0.3213233463159925,0.0637459056270824,-0.2739327307299253,0.0925608074528368,0.6747711708312842,0.7400716067181826
436,0.0820358971547218,0.0721842877573884,-0.2816929309360529,0.0545254007871128,0.0001623455838509,0.0033118499105593
852,-0.0704644995468341,0.0407108609197673,-0.046002339474498,0.0493795537747555,0.5018908416555371,0.5884237453892504
1348,0.1065749471959059,0.1509201477294639,0.159438417112125,0.1048307054582649,0.3299162830442162,0.4609789160343844
1172,-0.2931093779319262,0.0397380165713522,-0.2300849227711365,0.1064770362898904,0.6076229823904719,0.6886393800425347
908,-0.3113754015647319,0.064434102233116,-0.2882178133120567,0.0945904321214193,0.2834672971889779,0.4190386132358804
868,-0.1173737075864897,0.0392828351997369,-0.0054819387660445,0.0354630897210888,0.0274841597970506,0.0718816486999786
444,0.0764243639190046,0.0722647161512749,-0.3511945045963901,0.0642196286759033,7.171288283003299e-05,0.0018286785121658
1556,0.0286164714854252,0.0233424579273518,0.3742815390625987,0.2040445351909613,0.0615510337326187,0.1184567064288133
1332,0.4554210655599623,0.072012010209793,0.1899870299096408,0.0929065888080261,0.0657042150697594,0.1241079617984344
1012,-0.0651658127968589,0.0503413089784363,-0.03509534447186,0.1684864909217778,0.0669747856522578,0.1242077843005508
924,-0.2379530188556567,0.0400070912365141,-0.2881897170738088,0.0745828021196369,0.2045401479992461,0.3209706937834324
1180,-0.2645064682762642,0.0532518151882387,-0.2010928961659192,0.114793266099522,0.9850292291549342,0.9921656005178344
1340,0.3773758853056155,0.0829722732484995,0.1830546256402078,0.0987094623877824,0.1762587592109869,0.2809123974925104
1276,-0.1170236828076146,0.0487084577818461,-0.1653248766728678,0.1113126838357501,0.1571968586832209,0.2617274642213086
844,-0.1105305022643419,0.0157678353372122,-0.0901227026622055,0.0307703472547628,0.55035820918691,0.6379151970121003
1164,-0.299227847778783,0.0409926032325217,-0.3323124250868107,0.0685758184140909,0.3085766360914238,0.4433072800186652
564,0.0957307036676109,0.0205753152822596,0.19273008901553,0.0840564963659769,0.6428720810973034,0.7127494812165756
676,-0.266312141561064,0.0477072127321318,-0.3975247863552994,0.0596819459297531,0.0524613020737118,0.1104712200452777
684,-0.2850589022958361,0.0479018425338908,-0.4992771788182458,0.0520663937816238,0.0018783353128098,0.0115700462187646
1596,0.0208931037182376,0.0455607919347597,-0.112933107808576,0.0555707206222014,0.4176621168700623,0.5259448879104489
1804,-0.4077609555580281,0.0242241747104264,-0.493899118197299,0.0250603915627798,0.0092796689328751,0.0295789447235393
1796,-0.3966699869197716,0.0208810220417964,-0.4978061278874521,0.0258263769064283,0.0042009406749369,0.0194770885837984
1204,-0.0339990483521954,0.0909769143251226,-0.2788593370410035,0.0526371642867182,0.0119837208930837,0.0349239866027011
756,-0.0128001979609107,0.0227382925448035,-0.0499660752313921,0.0951913208679054,0.2972704765828399,0.4331655515921382
1260,-0.1986955600071504,0.0397066374993777,0.01509735612588,0.1066884067727206,0.0374154848543855,0.0930824257353007
764,-0.1230659218689181,0.0447062960382334,-0.0900433815485489,0.1023099578729474,0.9554079080977728,0.9843596628886144
1812,-0.4120868835521674,0.0199224941740616,-0.4933149806998577,0.0333802590375418,0.0068468221134307,0.0256257869595955
